"the_geom","OBJECTID_1","PARK","PARK_NO","FACILITY_N","FACILITY_T","X_COORD","Y_COORD","GISOBJID"
"POINT (-87.58241755334726 41.78367130417094)","2,534","JACKSON (ANDREW)","19","NATURE/BIRD SANCTUARY","SPECIAL","-87.58241755","41.7836713","5,894"
"POINT (-87.70190412651031 41.76823736445842)","2,535","MARQUETTE (JACQUES)","10","NATURE/BIRD SANCTUARY","SPECIAL","-87.70190413","41.76823736","5,895"
"POINT (-87.72502044893895 41.98915047801623)","2,536","NORTH PARK VILLAGE NATURE CENTER","533","NATURE/BIRD SANCTUARY","SPECIAL","-87.72502045","41.98915048","5,896"
"POINT (-87.60857556676048 41.8590080835527)","2,537","NORTHERLY ISLAND","34","NATURE/BIRD SANCTUARY","SPECIAL","-87.60857557","41.85900808","5,897"
"POINT (-87.64871301692703 41.84310021996538)","2,538","PALMISANO (HENRY)","531","NATURE/BIRD SANCTUARY","SPECIAL","-87.64871302","41.84310022","5,898"
"POINT (-87.56043462824611 41.767977991349596)","2,539","SOUTH SHORE CULTL. CTR.","429","NATURE/BIRD SANCTUARY","SPECIAL","-87.56043463","41.76797799","5,899"
"POINT (-87.68183216487532 41.97379302922162)","2,540","WINNEMAC","486","NATURE/BIRD SANCTUARY","SPECIAL","-87.68183216","41.97379303","5,900"
"POINT (-87.64023802730046 41.94857429792764)","2,541","LINCOLN (ABRAHAM)","100","NATURE/BIRD SANCTUARY","SPECIAL","-87.64023803","41.9485743","5,901"
"POINT (-87.65640561558166 42.006654077588536)","2,542","LOYOLA","115","NATURE/BIRD SANCTUARY","SPECIAL","-87.65640562","42.00665408","5,902"
"POINT (-87.57134937226003 41.691692602728715)","2,543","PARK NO. 564","564","WETLAND AREA","OUTDOOR","-87.57134937","41.6916926","5,903"
"POINT (-87.56547828486609 41.65631811370984)","2,544","HEGEWISCH MARSH","563","WETLAND AREA","OUTDOOR","-87.56547828","41.65631811","5,904"
"POINT (-87.56898754997802 41.647783624549426)","2,545","PARK NO. 576","576","WETLAND AREA","OUTDOOR","-87.56898755","41.64778362","5,905"
"POINT (-87.65771868621054 41.77264212417694)","2,546","OGDEN (WILLIAM)","8","GARDEN","OUTDOOR","-87.65771869","41.77264212","5,907"
"POINT (-87.71842321410553 41.88042246323235)","2,547","GARFIELD (JAMES)","204","GARDEN","OUTDOOR","-87.71842321","41.88042246","5,908"
"POINT (-87.76714583896772 41.87585726198342)","2,548","COLUMBUS (CHRISTOPHER)","209","NATURE/BIRD SANCTUARY","SPECIAL","-87.76714584","41.87585726","5,911"
"POINT (-87.76187796181024 41.99977729240774)","2,549","EDGEBROOK","335","BASKETBALL BACKBOARD","OUTDOOR","-87.76187796","41.99977729","5,915"
"POINT (-87.76179849317026 41.99974685024793)","2,550","EDGEBROOK","335","BASKETBALL COURT","OUTDOOR","-87.76179849","41.99974685","5,913"
"POINT (-87.76172495477446 41.99971180719516)","2,551","EDGEBROOK","335","BASKETBALL BACKBOARD","OUTDOOR","-87.76172495","41.99971181","5,914"
"POINT (-87.70531703710371 41.76498381519779)","2,552","MARQUETTE (JACQUES)","10","COMMUNITY GARDEN","OUTDOOR","-87.70531704","41.76498382","5,922"
"POINT (-87.78646970253538 41.966119473477356)","2,553","DUNHAM (ROBERT)","258","TENNIS COURT","OUTDOOR","-87.7864697","41.96611947","5,923"
"POINT (-87.7849399242684 41.965793627941466)","2,554","DUNHAM (ROBERT)","258","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.78493992","41.96579363","5,924"
"POINT (-87.79280510938894 41.98550418624546)","2,555","NORWOOD","141","BASKETBALL COURT","OUTDOOR","-87.79280511","41.98550419","5,925"
"POINT (-87.79287805957213 41.98549002183998)","2,556","NORWOOD","141","BASKETBALL BACKBOARD","OUTDOOR","-87.79287806","41.98549002","5,926"
"POINT (-87.70220160244902 41.83965223483327)","2,557","LA VILLITA","553","BASEBALL JR/SOFTBALL","OUTDOOR","-87.7022016","41.83965223","5,938"
"POINT (-87.70139166124372 41.83946907404651)","2,558","LA VILLITA","553","BASEBALL SR","OUTDOOR","-87.70139166","41.83946907","5,939"
"POINT (-87.70242358472716 41.84010309542476)","2,559","LA VILLITA","553","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.70242358","41.8401031","5,940"
"POINT (-87.70103624939321 41.83913127017623)","2,560","LA VILLITA","553","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.70103625","41.83913127","5,941"
"POINT (-87.70075798026063 41.83841251335914)","2,561","LA VILLITA","553","SLED HILL","SPECIAL","-87.70075798","41.83841251","5,942"
"POINT (-87.70178913106244 41.84000085036557)","2,562","LA VILLITA","553","GAME TABLES","SPECIAL","-87.70178913","41.84000085","5,943"
"POINT (-87.67524371334466 42.02269371155856)","2,563","TRIANGLE","518","FITNESS COURSE","OUTDOOR","-87.67524371","42.02269371","5,946"
"POINT (-87.70274236343896 41.98963020740201)","2,564","MATHER (STEPHEN TYNG)","241","SPRAY FEATURE","OUTDOOR","-87.70274236","41.98963021","5,948"
"POINT (-87.65491393752083 41.92849719800503)","2,565","JONQUIL","1,270","SPRAY FEATURE","OUTDOOR","-87.65491394","41.9284972","5,950"
"POINT (-87.62143376793527 41.83863273027109)","2,566","DUNBAR (PAUL LAURENCE)","267","SPRAY FEATURE","OUTDOOR","-87.62143377","41.83863273","5,951"
"POINT (-87.63128423066208 41.74510457959541)","2,567","WEST CHATHAM","249","WATER PLAYGROUND","OUTDOOR","-87.63128423","41.74510458","5,953"
"POINT (-87.67108683234166 41.68449782303314)","2,568","BLACKWELDER (I.S., GERTRUDE)","373","SPRAY FEATURE","OUTDOOR","-87.67108683","41.68449782","5,955"
